% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 24 2025, 12:30"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Impedance, Electric potential"
% Length unit,m
% x,y,z,ec.Z11 (Ω) @ freq=50000,V (V) @ freq=50000
95.20379100355319,89.70809368657686,-7,0.17862812656544189-0.012421912187879748i,0.03572562031453596-0.002484382089973474i
89.69355922574732,89.85356838763325,-2,0.17862812656544189-0.012421912187879748i,0.03572562203630703-0.002484382209706519i
89.59932221662788,93.73766664881231,-7,0.17862812656544189-0.012421912187879748i,0.035725622706203414-0.0024843822562915317i
87.64409799547643,93.34548299975327,-2,0.17862812656544189-0.012421912187879748i,0.035725623357357746-0.0024843823015732137i
100,80,-2,0.17862812656544189-0.012421912187879748i,0.035725608087648554-0.00248438123970804i
96.53589838486224,82.00000000000001,-2,0.17862812656544189-0.012421912187879748i,0.03572561320997888-0.0024843815959181077i
100,79.98479059516539,-7,0.17862812656544189-0.012421912187879748i,0.035725598439155425-0.002484380568745762i
100,76,-2,0.17862812656544189-0.012421912187879748i,0.03572559089954607-0.0024843800444365916i
96.53589838486224,78,-2,0.17862812656544189-0.012421912187879748i,0.03572560076396867-0.0024843807304147343i
100,72,-1.9999999999999998,0.17862812656544189-0.012421912187879748i,0.035725556127709446-0.0024843776263812176i
100.00000000000001,73.30707035341077,-7,0.17862812656544189-0.012421912187879748i,0.03572553984096732-0.002484376493790932i
96.53589838486224,74,-2,0.17862812656544189-0.012421912187879748i,0.03572557689953875-0.002484379070867282i
100,70.65353517670539,-4.5,0.17862812656544189-0.012421912187879748i,0.03572550291796601-0.0024843739261422165i
96.53589838486224,70,-2,0.17862812656544189-0.012421912187879748i,0.03572552805623195-0.00248437567427303i
100.00000000000001,68,-2.0000000000000004,0.17862812656544189-0.012421912187879748i,0.03572548634599773-0.00248437277371713i
