% Model,2_electrode_cancer_tissue (1).mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 24 2025, 12:27"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Impedance, Electric potential"
% Length unit,m
% x,y,z,ec.Z11 (Ω) @ freq=50000,V (V) @ freq=50000
93.06449478382726,83.92998035111347,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359352812329987E-6-3.9942336772754924E-12i
93.07179676972447,80,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359349444884712E-6-3.9942327405784496E-12i
89.7001650888874,81.96721101473078,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359351356955766E-6-3.994233272444941E-12i
80,100,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355888652338E-6-3.994234532993047E-12i
76.00000000000003,100.00000000000003,-2.0000000000000004,0.007179678165783102-1.997117328097541E-8i,1.4359355863586393E-6-3.994234526020638E-12i
79.98478523297267,100.00000000000001,-7.000000000000001,0.007179678165783103-1.9971173280975413E-8i,1.4359355675714299E-6-3.994234473761672E-12i
78.00000000000001,96.53589838486225,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359355758826666E-6-3.9942344968804085E-12i
83.58496633876146,93.136399262308,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355553000894E-6-3.994234439627399E-12i
82.66910282654706,94.12080114401562,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359355295968373E-6-3.9942343681305854E-12i
79.93145162477641,93.14745413614207,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355524956325E-6-3.99423443182645E-12i
81.60074815670103,89.67013240847979,-2,0.007179678165783103-1.9971173280975413E-8i,1.435935499857337E-6-3.994234285406447E-12i
89.53191514211429,86.71816523543794,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359353008533199E-6-3.99423373185187E-12i
90.01480740939199,85.76189297337386,-2,0.007179678165783102-1.997117328097541E-8i,1.435935375711008E-6-3.994233940077897E-12i
86.9077490160029,83.68528790747851,-2,0.007179678165783103-1.9971173280975413E-8i,1.435935267598705E-6-3.994233639350001E-12i
87.06314187831437,86.92449858027635,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359354212636728E-6-3.994234066788339E-12i
84.766694818482,89.2476440543889,-7,0.0071796781657831035-1.997117328097541E-8i,1.4359354096000948E-6-3.994234034344634E-12i
85.3140180784869,89.79835359065368,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355033286342E-6-3.9942342950622904E-12i
83.58765237604024,85.87166035959018,-2,0.0071796781657831035-1.9971173280975413E-8i,1.4359353796596474E-6-3.994233951061536E-12i
94.27845145322055,76.53478782197224,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359336845437144E-6-3.99422923588444E-12i
93.0717967697245,76,-2,0.007179678165783102-1.997117328097541E-8i,1.4359342516964567E-6-3.994230813490763E-12i
89.60769515458674,78,-2,0.007179678165783103-1.9971173280975413E-8i,1.435934665512781E-6-3.994231964572658E-12i
93.07179676972447,72.00000000000001,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359328422517346E-6-3.9942268929438936E-12i
89.60769515458674,74.00000000000003,-2,0.007179678165783103-1.9971173280975413E-8i,1.435933666892891E-6-3.994229186786464E-12i
72,100,-2,0.007179678165783102-1.997117328097541E-8i,1.435935586811732E-6-3.994234527280975E-12i
74.00000000000001,96.53589838486224,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359355767931961E-6-3.994234499413164E-12i
73.30703003920055,100.00000000000001,-6.999999999999999,0.007179678165783103-1.9971173280975413E-8i,1.4359355691189078E-6-3.994234478066165E-12i
70,96.53589838486224,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355780296574E-6-3.994234502852534E-12i
70.65351501960028,100,-4.5,0.007179678165783103-1.9971173280975413E-8i,1.435935571983507E-6-3.994234486034409E-12i
68,100,-1.9999999999999998,0.007179678165783102-1.997117328097541E-8i,1.4359355883349429E-6-3.994234531517975E-12i
96.53589838486224,66,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359276939489893E-6-3.994212572295555E-12i
100.00000000000003,66.66445377533019,-7.000000000000002,0.007179678165783103-1.9971173280975413E-8i,1.435924664559038E-6-3.9942041456683105E-12i
100.00000000000003,64.00000000000001,-2.0000000000000004,0.007179678165783102-1.997117328097541E-8i,1.4359245287085908E-6-3.994203767783288E-12i
94.25676796624938,69.95905128738988,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359295056331299E-6-3.994217611721702E-12i
93.07179676972447,67.99999999999999,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359301255251683E-6-3.9942193360289824E-12i
89.60769515458671,69.99999999999999,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359317200248098E-6-3.994223771329266E-12i
88.473544143943,79.90172861505734,-7,0.0071796781657831035-1.997117328097541E-8i,1.4359345502525425E-6-3.994231643961876E-12i
86.47117137157356,79.92759749071934,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359349328930933E-6-3.994232708324455E-12i
86.14359353944899,76.00000000000003,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359342399227671E-6-3.994230780740771E-12i
76.00000000000003,93.0717967697245,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355537568879E-6-3.99423443533479E-12i
76.29440298632649,94.08942786715689,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359355295147124E-6-3.994234367902145E-12i
77.6956640561748,89.66474387861675,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359354992705872E-6-3.99423428377433E-12i
72,93.07179676972447,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355538369314E-6-3.994234435557444E-12i
74.00000000000003,89.60769515458674,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359354976753068E-6-3.9942342793368616E-12i
79.4670702661207,88.6461756032696,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359353894988277E-6-3.9942339784304395E-12i
79.52416927710104,86.22466006024396,-2,0.007179678165783103-1.9971173280975413E-8i,1.435935398504912E-6-3.994234003481993E-12i
75.77111285016124,86.16384412260868,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359353930330826E-6-3.994233988261414E-12i
83.71591075730822,83.74876533905385,-7,0.0071796781657831035-1.997117328097541E-8i,1.4359350757818639E-6-3.994233105787448E-12i
83.55637112027856,81.85080171582801,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359351360732292E-6-3.9942332734954295E-12i
80.02131458755409,83.13218152035782,-3.9999999999999853,0.007179678165783103-1.9971173280975406E-8i,1.43593509340997E-6-3.994233154822231E-12i
80.83340120479617,83.28930712738423,-2,0.007179678165783102-1.997117328097541E-8i,1.4359352473543765E-6-3.9942335830378635E-12i
80.23493100961949,80.09042352236831,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359349569283609E-6-3.994232775181556E-12i
